512,10,10,30,0:12.417614221572876,3.1022260189056396
1024,10,10,30,0:23.569686889648438,8.12096357345581
2048,10,10,30,0:41.84297704696655,26.47850775718689
512,10,10,30,2:62.27109479904175,14.57851266860962
1024,10,10,30,2:79.26710772514343,36.51543951034546
2048,10,10,30,2:136.06863284111023,113.39718866348267
512,10,10,30,4:105.94495272636414,25.563299655914307
1024,10,10,30,4:133.47089910507202,64.1757264137268
2048,10,10,30,4:230.29491519927979,199.61632919311523
512,10,10,30,6:148.73535013198853,37.23023819923401
512,10,10,30,8,512:192.54752111434937,48.73214364051819
512,10,10,60,0,512:12.875215291976929,3.1695973873138428
512,10,10,60,2,512:68.82038497924805,15.24741244316101
512,10,10,60,4,512:117.86232805252075,27.550190687179565
512,10,10,60,6,512:168.2623918056488,40.01956057548523
512,10,10,60,8,512:218.1886591911316,52.10380506515503
1024,10,10,30,6,1024:188.8625729084015,92.07015872001648
1024,10,10,30,8,1024:244.09795999526978,119.4299464225769
1024,10,10,60,0,1024:23.920300006866455,8.07360577583313
1024,10,10,60,2,1024:79.91729712486267,36.38504910469055
1024,10,10,60,4,1024:147.2869930267334,65.10409235954285
1024,10,10,60,6,1024:210.09280490875244,94.54405951499939
1024,10,10,60,8,1024:272.2563257217407,122.8103506565094
1024,10,10,30,0,1024:22.45439314842224,8.016577005386353
1024,10,10,30,2,1024:78.46029376983643,35.54771971702576
1024,10,10,30,4,1024:132.93733406066895,63.430686712265015
2048,10,10,30,0,2048:40.95374608039856,25.5499165058136
2048,10,10,30,2,2048:135.13217687606812,110.84926962852478
2048,10,10,30,4,2048:228.38900899887085,196.19734954833984
2048,10,10,30,6,2048:323.6386790275574,282.86596059799194
2048,10,10,30,8,2048:416.05544209480286,365.46738171577454
2048,10,10,60,0,2048:41.67615604400635,25.898247718811035
2048,10,10,60,2,2048:142.84592604637146,111.69518995285034
2048,10,10,60,4,2048:244.2531418800354,197.73826622962952
2048,10,10,60,6,2048:345.34647130966187,284.35748505592346
2048,10,10,60,8,2048:448.2812180519104,372.6291813850403
